Id,Predicted
0,0
1,2
2,4
3,6
4,1
5,1
6,6
7,0
8,2
9,5
10,1
11,5
12,0
13,4
14,1
15,0
16,6
17,5
18,4
19,1
20,1
21,3
22,1
23,5
24,0
25,4
26,1
27,3
28,3
29,2
30,4
31,2
32,5
33,3
34,0
35,2
36,3
37,0
38,0
39,6
40,1
41,2
42,6
43,0
44,6
45,4
46,1
47,1
48,2
49,1
50,6
51,4
52,5
53,5
54,5
55,3
56,3
57,2
58,6
59,5
60,6
61,6
62,5
63,3
64,0
65,4
66,2
67,5
68,1
69,4
70,2
71,3
72,6
73,0
74,1
75,1
76,0
77,1
78,6
79,0
80,0
81,2
82,4
83,6
84,3
85,4
86,0
87,4
88,2
89,5
90,3
91,1
92,1
93,6
94,6
95,6
96,1
97,6
98,0
99,6
100,1
101,3
102,2
103,0
104,6
105,5
106,5
107,5
108,6
109,5
110,1
111,5
112,6
113,2
114,1
115,0
116,5
117,5
118,5
119,4
120,1
121,4
122,1
123,6
124,3
125,1
126,3
127,0
128,1
129,5
130,2
131,6
132,6
133,4
134,1
135,2
136,6
137,5
138,2
139,6
140,1
141,6
142,6
143,5
144,2
145,0
146,6
147,4
148,0
149,5
150,1
151,1
152,2
153,6
154,1
155,4
156,5
157,0
158,6
159,6
160,4
161,2
162,0
163,2
164,2
165,6
166,4
167,0
168,0
169,1
170,6
171,2
172,4
173,0
174,4
175,1
176,1
177,5
178,1
179,0
180,6
181,5
182,1
183,5
184,2
185,5
186,0
187,6
188,4
189,1
190,5
191,1
192,5
193,4
194,4
195,1
196,0
197,0
198,5
199,3
200,2
201,4
202,6
203,1
204,5
205,5
206,3
207,0
208,0
209,1
210,1
211,6
212,0
213,6
214,1
215,1
216,0
217,3
218,3
219,3
220,5
221,5
222,0
223,6
224,3
225,5
226,0
227,1
228,5
229,4
230,3
231,1
232,1
233,5
234,0
235,1
236,3
237,3
238,2
239,1
240,5
241,1
242,3
243,1
244,1
245,6
246,5
247,4
248,5
249,3
250,1
251,0
252,3
253,5
254,4
255,3
256,4
257,3
258,5
259,0
260,1
261,2
262,4
263,3
264,1
265,1
266,6
267,3
268,3
269,0
270,1
271,2
272,5
273,6
274,3
275,6
276,4
277,6
278,6
279,3
280,5
281,5
282,5
283,2
284,1
285,5
286,4
287,4
288,0
289,5
290,3
291,3
292,6
293,6
294,0
295,3
296,1
297,3
298,0
299,0
300,2
301,5
302,0
303,2
304,4
305,3
306,0
307,2
308,5
309,1
310,0
311,0
312,2
313,6
314,4
315,4
316,1
317,6
318,0
319,2
320,2
321,5
322,4
323,1
324,2
325,1
326,5
327,4
328,5
329,5
330,0
331,0
332,1
333,5
334,4
335,0
336,3
337,4
338,1
339,6
340,1
341,4
342,2
343,0
344,0
345,2
346,5
347,2
348,5
349,1
350,4
351,4
352,0
353,1
354,3
355,6
356,0
357,3
358,4
359,5
360,0
361,5
362,5
363,4
364,1
365,6
366,6
367,4
368,0
369,3
370,2
371,0
372,4
373,0
374,4
375,4
376,1
377,1
378,0
379,4
380,0
381,1
382,1
383,5
384,0
385,2
386,6
387,0
388,2
389,2
390,5
391,0
392,2
393,0
394,5
395,1
396,0
397,1
398,6
399,2
400,4
401,5
402,3
403,1
404,3
405,3
406,4
407,5
408,0
409,3
410,2
411,1
412,6
413,5
414,5
415,5
416,1
417,1
418,6
419,6
420,3
421,4
422,2
423,0
424,4
425,1
426,2
427,6
428,4
429,4
430,6
431,3
432,2
433,0
434,3
435,5
436,1
437,6
438,0
439,0
440,4
441,1
442,5
443,1
444,3
445,1
446,1
447,1
448,2
449,1
450,3
451,1
452,0
453,6
454,1
455,5
456,0
457,1
458,5
459,4
460,6
461,1
462,5
463,2
464,0
465,4
466,3
467,5
468,2
469,2
470,2
471,6
472,1
473,0
474,6
475,5
476,2
477,4
478,0
479,4
480,4
481,1
482,2
483,6
484,4
485,4
486,1
487,4
488,4
489,4
490,5
491,2
492,1
493,2
494,6
495,0
496,5
497,4
498,5
499,3
500,5
501,5
502,1
503,4
504,1
505,4
506,5
507,2
508,0
509,0
510,0
511,1
512,3
513,4
514,4
515,4
516,0
517,3
518,5
519,4
520,3
521,1
522,5
523,3
524,1
525,0
526,6
527,1
528,3
529,6
530,5
531,3
532,6
533,5
534,0
535,4
536,4
537,6
538,5
539,2
540,6
541,2
542,1
543,5
544,3
545,4
546,6
547,0
548,5
549,1
550,1
551,4
552,1
553,3
554,5
555,4
556,3
557,2
558,1
559,4
560,2
561,0
562,4
563,2
564,4
565,2
566,3
567,1
568,5
569,6
570,4
571,1
572,3
573,6
574,0
575,5
576,0
577,1
578,5
579,0
580,1
581,1
582,1
583,0
584,2
585,0
586,5
587,0
588,4
589,2
590,4
591,1
592,5
593,2
594,1
595,0
596,4
597,5
598,5
599,4
600,1
601,5
602,1
603,4
604,3
605,6
606,5
607,1
608,5
609,2
610,6
611,0
612,0
613,0
614,0
615,3
616,6
617,6
618,2
619,3
620,1
621,0
622,6
623,5
624,6
625,1
626,2
627,1
628,0
629,3
630,2
631,2
632,0
633,3
634,4
635,0
636,4
637,3
638,4
639,0
640,5
641,6
642,5
643,1
644,6
645,2
646,4
647,0
648,5
649,0
650,6
651,5
652,0
653,5
654,5
655,4
656,1
657,1
658,1
659,3
660,1
661,4
662,2
663,6
664,4
665,0
666,3
667,6
668,6
669,4
670,1
671,5
672,6
673,1
674,4
675,4
676,2
677,3
678,2
679,1
680,4
681,5
682,3
683,2
684,2
685,0
686,4
687,0
688,2
689,3
690,1
691,4
692,4
693,2
694,1
695,4
696,6
697,2
698,4
699,1
700,2
701,3
702,6
703,6
704,4
705,1
706,1
707,1
708,3
709,0
710,6
711,6
712,3
713,4
714,6
715,5
716,1
717,0
718,5
719,4
720,5
721,5
722,5
723,3
724,1
725,1
726,4
727,5
728,5
729,4
730,2
731,6
732,1
733,0
734,1
735,2
736,6
737,5
738,1
739,4
740,6
741,2
742,2
743,0
744,6
745,5
746,2
747,2
748,0
749,4
750,3
751,0
752,0
753,1
754,6
755,1
756,4
757,1
758,5
759,0
760,3
761,3
762,0
763,5
764,2
765,4
766,5
767,1
768,3
769,0
770,2
771,1
772,4
773,0
774,6
775,3
776,5
777,6
778,1
779,6
780,3
781,0
782,4
783,3
784,3
785,2
786,2
787,4
788,3
789,4
790,6
791,5
792,4
793,6
794,2
795,4
796,3
797,4
798,2
799,5
800,1
801,1
802,3
803,1
804,3
805,4
806,0
807,2
808,0
809,4
810,5
811,0
812,1
813,2
814,3
815,4
816,5
817,4
818,1
819,3
820,0
821,5
822,6
823,5
824,1
825,1
826,3
827,5
828,5
829,6
830,1
831,5
832,6
833,1
834,1
835,0
836,1
837,3
838,0
839,4
840,2
841,1
842,4
843,0
844,2
845,1
846,5
847,4
848,5
849,4
850,6
851,3
852,4
853,5
854,6
855,1
856,2
857,4
858,0
859,1
860,1
861,0
862,6
863,6
864,6
865,6
866,4
867,5
868,4
869,1
870,0
871,4
872,4
873,3
874,3
875,2
876,4
877,5
878,0
879,1
880,1
881,5
882,6
883,2
884,1
885,5
886,3
887,3
888,5
889,2
890,5
891,3
892,4
893,5
894,3
895,1
896,1
897,3
898,5
899,3
900,1
901,4
902,2
903,4
904,5
905,4
906,1
907,0
908,6
909,4
910,6
911,2
912,0
913,6
914,2
915,4
916,5
917,1
918,5
919,3
920,2
921,5
922,3
923,0
924,0
925,5
926,1
927,3
928,2
929,4
930,6
931,2
932,5
933,3
934,2
935,5
936,5
937,3
938,2
939,3
940,5
941,0
942,4
943,6
944,5
945,0
946,0
947,1
948,6
949,2
950,5
951,6
952,4
953,0
954,3
955,6
956,0
957,3
958,3
959,4
960,5
961,0
962,0
963,2
964,0
965,4
966,4
967,0
968,3
969,5
970,2
971,6
972,2
973,1
974,1
975,5
976,6
977,4
978,4
979,6
980,1
981,4
982,6
983,2
984,6
985,0
986,3
987,2
988,3
989,1
990,5
991,6
992,2
993,5
994,6
995,5
996,3
997,0
998,3
999,5
1000,5
1001,4
1002,3
1003,1
1004,1
1005,3
1006,1
1007,5
1008,1
1009,4
1010,4
1011,5
1012,5
1013,3
1014,1
1015,5
1016,6
1017,4
1018,3
1019,4
1020,2
1021,3
1022,5
1023,4
1024,1
1025,2
1026,4
1027,0
1028,1
1029,1
1030,6
1031,0
1032,0
1033,6
1034,4
1035,5
1036,0
1037,4
1038,2
1039,4
1040,5
1041,4
1042,6
1043,4
1044,5
1045,1
1046,4
1047,1
1048,2
1049,6
1050,6
1051,3
1052,5
1053,2
1054,6
1055,1
1056,0
1057,5
1058,0
1059,4
1060,4
1061,2
1062,5
1063,6
1064,1
1065,5
1066,1
1067,6
1068,4
1069,2
1070,3
1071,2
1072,3
1073,0
1074,5
1075,6
1076,6
1077,2
1078,0
1079,6
1080,5
1081,6
1082,2
1083,2
1084,1
1085,1
1086,0
1087,2
1088,6
1089,5
1090,0
1091,0
1092,1
1093,1
1094,4
1095,6
1096,2
1097,1
1098,2
1099,5
1100,6
1101,3
1102,0
1103,5
1104,3
1105,6
1106,2
1107,3
1108,1
1109,3
1110,0
1111,1
1112,1
1113,0
1114,0
1115,6
1116,3
1117,2
1118,2
1119,3
1120,1
1121,6
1122,4
1123,1
1124,1
1125,2
1126,4
1127,1
1128,6
1129,4
1130,2
1131,6
1132,1
1133,6
1134,4
1135,5
1136,5
1137,0
1138,4
1139,3
1140,3
1141,4
1142,3
1143,1
1144,0
1145,4
1146,1
1147,4
1148,0
1149,4
1150,2
1151,1
1152,6
1153,6
1154,5
1155,6
1156,3
1157,4
1158,3
1159,0
1160,0
1161,5
1162,1
1163,1
1164,5
1165,5
1166,6
1167,0
1168,2
1169,0
1170,6
1171,5
1172,5
1173,1
1174,1
1175,2
1176,2
1177,3
1178,2
1179,4
1180,2
1181,6
1182,1
1183,2
1184,4
1185,1
1186,2
1187,6
1188,5
1189,6
1190,1
1191,2
1192,5
1193,0
1194,4
1195,3
1196,5
1197,4
1198,5
1199,6
1200,4
1201,0
1202,1
1203,2
1204,6
1205,2
1206,2
1207,3
1208,0
1209,1
1210,0
1211,0
1212,4
1213,4
1214,0
1215,3
1216,5
1217,6
1218,4
1219,1
1220,4
1221,3
1222,3
1223,5
1224,1
1225,0
1226,4
1227,6
1228,5
1229,0
1230,3
1231,6
1232,2
1233,2
